,CPU_Tick,Task_Id,Abs_Deadline,Rem_WCET,Rel_Deadline,Ch_Rem_WCET,Arrival_timeDiff,IsDeadlineChanged,IsWCETChanged,IsArrivalTimeChanged,IsTaskPropertyChanged,IsModeChanged1,IsModeChanged2
0,1779796460166136,3932160,524659490476738,1200000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,1779796464237764,3932161,524659492478461,1440000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,1779796469124803,3932162,524659494479078,1680000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,1779796474825355,3932163,524659496479793,1920000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,1779796481340429,3932164,524659498480267,2160000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,1779796488669424,3932165,524659500480792,2400000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,1779796494072755,3932160,524659500476738,1200000,10000000.0,0.0,33906619.0,0.0,0.0,33906619.0,0.0,0.0,0.0
7,1779796498144922,3932165,524659500480792,807149,0.0,1592851.0,9475498.0,0.0,0.0,9475498.0,0.0,0.0,0.0
8,1779796501029820,3932166,524659502481254,2640000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,1779796509989539,3932161,524659504478461,1440000,12000000.0,0.0,45751775.0,0.0,0.0,45751775.0,0.0,0.0,0.0
10,1779796514874977,3932167,524659504481764,2880000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11,1779796524646326,3932162,524659508479078,1680000,14000000.0,0.0,55521523.0,0.0,0.0,55521523.0,0.0,0.0,0.0
12,1779796530346467,3932160,524659510476738,1200000,10000000.0,0.0,36273712.0,0.0,0.0,2367093.0,0.0,0.0,0.0
13,1779796534420147,3932163,524659512479793,1920000,16000000.0,0.0,59594792.0,0.0,0.0,59594792.0,0.0,0.0,0.0
14,1779796540935339,3932164,524659516480267,2160000,18000000.0,0.0,59594910.0,0.0,0.0,59594910.0,0.0,0.0,0.0
15,1779796541566899,3932161,524659516478461,1440000,12000000.0,0.0,31577360.0,0.0,0.0,14174415.0,0.0,0.0,0.0
16,1779796546453829,3932164,524659516480267,1973632,0.0,186368.0,5518490.0,0.0,0.0,54076420.0,0.0,0.0,0.0
17,1779796553150533,3932165,524659520480792,2400000,20000000.0,1592851.0,55005611.0,0.0,0.0,45530113.0,0.0,0.0,0.0
18,1779796561293699,3932162,524659522479078,1680000,14000000.0,0.0,36647373.0,0.0,0.0,18874150.0,0.0,0.0,0.0
19,1779796561913312,3932160,524659520476738,1200000,10000000.0,0.0,31566845.0,0.0,0.0,4706867.0,0.0,0.0,0.0
20,1779796565985962,3932162,524659522479078,1497368,0.0,182632.0,4692263.0,0.0,0.0,31955110.0,0.0,0.0,0.0
21,1779796571067354,3932166,524659524481254,2640000,22000000.0,0.0,70037534.0,0.0,0.0,70037534.0,0.0,0.0,0.0
22,1779796580024344,3932163,524659528479793,1920000,16000000.0,0.0,45604197.0,0.0,0.0,13990595.0,0.0,0.0,0.0
23,1779796582272995,3932161,524659528478461,1440000,12000000.0,0.0,40706096.0,0.0,0.0,9128736.0,0.0,0.0,0.0
24,1779796587159134,3932163,524659528479793,1257020,0.0,662980.0,7134790.0,0.0,0.0,38469407.0,0.0,0.0,0.0
25,1779796591425061,3932167,524659528481764,2880000,24000000.0,0.0,76550084.0,0.0,0.0,76550084.0,0.0,0.0,0.0
26,1779796601195954,3932160,524659530476738,1200000,10000000.0,0.0,39282642.0,0.0,0.0,7715797.0,0.0,0.0,0.0
27,1779796605268205,3932164,524659534480267,2160000,18000000.0,186368.0,58814376.0,0.0,0.0,53295886.0,0.0,0.0,0.0
28,1779796612596819,3932162,524659536479078,1680000,14000000.0,182632.0,46610857.0,0.0,0.0,41918594.0,0.0,0.0,0.0
29,1779796618297591,3932165,524659540480792,2400000,20000000.0,0.0,65147058.0,0.0,0.0,10141447.0,0.0,0.0,0.0
30,1779796622979823,3932161,524659540478461,1440000,12000000.0,0.0,40706828.0,0.0,0.0,732.0,0.0,0.0,0.0
31,1779796627865856,3932165,524659540480792,1019788,0.0,1380212.0,9568265.0,0.0,0.0,55578793.0,0.0,0.0,0.0
32,1779796629757595,3932160,524659540476738,1200000,10000000.0,0.0,28561641.0,0.0,0.0,10721001.0,0.0,0.0,0.0
33,1779796633829734,3932165,524659540480792,462225,0.0,557563.0,5963878.0,0.0,822649.0,3604387.0,0.0,0.0,0.0
34,1779796635399325,3932163,524659544479793,1920000,16000000.0,662980.0,48240191.0,0.0,0.0,41105401.0,0.0,0.0,0.0
35,1779796641913940,3932166,524659546481254,2640000,22000000.0,0.0,70846586.0,0.0,0.0,809052.0,0.0,0.0,0.0
36,1779796650870854,3932162,524659550479078,1680000,14000000.0,0.0,38274035.0,0.0,0.0,8336822.0,0.0,0.0,0.0
37,1779796656571699,3932164,524659552480267,2160000,18000000.0,0.0,51303494.0,0.0,0.0,7510882.0,0.0,0.0,0.0
38,1779796663680764,3932160,524659550476738,1200000,10000000.0,0.0,33923169.0,0.0,0.0,5361528.0,0.0,0.0,0.0
39,1779796667753015,3932161,524659552478461,1440000,12000000.0,0.0,44773192.0,0.0,0.0,4066364.0,0.0,0.0,0.0
40,1779796672639951,3932164,524659552480267,64250,0.0,2095750.0,16068252.0,0.0,0.0,35235242.0,0.0,0.0,0.0
41,1779796672858978,3932167,524659552481764,2880000,24000000.0,0.0,81433917.0,0.0,0.0,4883833.0,0.0,0.0,0.0
42,1779796682630203,3932163,524659560479793,1920000,16000000.0,0.0,47230878.0,0.0,0.0,1009313.0,0.0,0.0,0.0
43,1779796689144914,3932165,524659560480792,2400000,20000000.0,1937775.0,55315180.0,0.0,1380212.0,49351302.0,0.0,0.0,0.0
44,1779796697287987,3932166,524659568481254,2640000,22000000.0,0.0,55374047.0,0.0,0.0,15472539.0,0.0,0.0,0.0
45,1779796697603102,3932160,524659560476738,1200000,10000000.0,0.0,33922338.0,0.0,0.0,831.0,0.0,0.0,0.0
46,1779796701676087,3932162,524659564479078,1680000,14000000.0,0.0,50805233.0,0.0,0.0,12531198.0,0.0,0.0,0.0
47,1779796704393624,3932161,524659564478461,1440000,12000000.0,0.0,36640609.0,0.0,0.0,8132583.0,0.0,0.0,0.0
48,1779796709279757,3932162,524659564479078,878856,0.0,801144.0,7603670.0,0.0,0.0,43201563.0,0.0,0.0,0.0
49,1779796712262717,3932166,524659568481254,2547135,0.0,92865.0,14974730.0,0.0,0.0,40399317.0,0.0,0.0,0.0
50,1779796720905003,3932164,524659570480267,2160000,18000000.0,2095750.0,48265052.0,0.0,0.0,32196800.0,0.0,0.0,0.0
